2	0.00873	0.000571	0.000326	0.000252
20	0.002214	0.0025	0.000996	0.000575
22	0.001951	0.001001	0.000752	0.000429
24	0.00156	0.000863	0.000666	0.000399
26	0.001856	0.000786	0.000595	0.000451
28	0.002161	0.000826	0.000704	0.000456
30	0.001852	0.000661	0.000679	0.000451
32	0.002328	0.001097	0.000697	0.000477
34	0.002883	0.000974	0.001264	0.000876
36	0.002901	0.001285	0.001269	0.000873
38	0.003059	0.001422	0.001546	0.000856
40	0.003202	0.001259	0.001655	0.000916
44	0.004987	0.001263	0.002214	0.000895
48	0.004451	0.001518	0.00265	0.00098
52	0.005508	0.001456	0.009883	0.001023
56	0.005302	0.00156	0.005779	0.000963
60	0.006282	0.001391	0.006055	0.001103
66	0.006105	0.001818	0.00717	0.001668
72	0.007734	0.002576	0.007767	0.00171
78	0.008193	0.002474	0.008471	0.001783
84	0.008559	0.002815	0.009263	0.001968
92	0.009758	0.002849	0.010354	0.002049
100	0.009917	0.002955	0.011683	0.002207
110	0.012231	0.003086	0.013474	0.002304
120	0.012278	0.003218	0.014888	0.002531
132	0.015413	0.004064	0.016658	0.003197
144	0.01609	0.005449	0.018428	0.003749
158	0.01911	0.005486	0.020804	0.00394
172	0.020854	0.005736	0.023709	0.004233
188	0.022272	0.005981	0.025804	0.004433
206	0.025711	0.00614	0.029417	0.004898
226	0.029365	0.00681	0.032944	0.005303
248	0.033139	0.007535	0.036275	0.005541
272	0.035252	0.009534	0.041027	0.007871
298	0.04008	0.010719	0.046504	0.008455
326	0.043597	0.011819	0.052257	0.009061
358	0.049013	0.012309	0.058496	0.009804
392	0.054364	0.012838	0.065181	0.010436
430	0.059107	0.01365	0.072283	0.01115
472	0.065616	0.014336	0.080594	0.011846
518	0.072223	0.016554	0.299347	0.013095
568	0.042007	0.011019	0.050438	0.008818
624	0.033313	0.008459	0.040782	0.006038
686	0.032496	0.007865	0.040381	0.006455
754	0.03592	0.008305	0.045055	0.006958
828	0.040249	0.008903	0.050028	0.007467
910	0.045388	0.009567	0.055515	0.008163
1000	0.0494	0.010436	0.061442	0.008745
1100	0.055964	0.013177	0.069926	0.011807
1210	0.061879	0.015539	0.078637	0.01272
1330	0.067203	0.016473	0.133817	0.015852
1462	0.089743	0.020189	0.114018	0.017128
1608	0.138501	0.049354	0.145868	0.025001
1768	0.149359	0.031002	0.191903	0.027115
1944	0.166344	0.033431	0.2127	0.029381
2138	0.169116	0.028805	0.167398	0.023362
2350	0.2493	0.032066	0.17043	0.026708
2584	0.167237	0.040041	0.255077	0.067189
2842	0.254423	0.05057	0.326895	0.036129
3126	0.287296	0.044051	0.354701	0.03915
3438	0.230781	0.047101	0.301076	0.042286
3780	0.255886	0.050145	0.518242	0.059424
4158	0.246812	0.049304	0.325245	0.04573
4572	0.274326	0.062216	0.361112	0.056089
5028	0.308588	0.082367	0.410729	0.060586
5530	0.342701	0.075325	0.446459	0.075267
6082	0.372343	0.080601	0.493972	0.070972
6690	0.414055	0.08407	0.547231	0.076554
7358	0.46675	0.090393	0.605297	0.083688
8092	0.516911	0.096767	0.816661	0.142695
8900	0.735987	0.141782	0.875408	0.135951
9790	0.73488	0.241479	1.12864	0.147156
10768	0.919935	0.269088	1.38114	0.155141
11844	0.905589	0.186544	1.37648	0.158332
13028	0.868356	0.17482	1.17936	0.161524
14330	1.07547	0.187499	1.30231	0.175162
15762	1.06768	0.337164	1.44653	0.1858
17338	1.19233	0.235769	1.73752	0.236048
19070	1.30853	0.298368	2.00856	0.384454
20976	1.52249	0.480771	1.95812	0.279615
23072	1.8202	0.338138	2.187	0.311311
25378	1.85644	0.357247	2.56057	0.33763
27914	2.11508	0.409692	2.65903	0.36702
30704	2.24187	0.413972	3.09611	0.387877
33774	2.62545	0.453423	3.4359	0.492587
37150	2.98578	0.581184	3.85009	0.547893
40864	3.26612	0.658922	4.4125	0.583104
44950	3.50013	0.70102	4.79099	0.645543
49444	4.10225	0.748666	5.18936	0.701728
54388	4.20726	0.817111	5.67519	0.748593
59826	6.03483	0.928812	6.41911	0.862857
65808	5.13724	0.949417	7.23026	0.895038
72388	5.71489	1.18275	7.90252	1.1411
79626	6.38679	1.31336	8.77294	1.2699
87588	8.60453	1.64282	11.2185	1.52074
96346	9.14842	1.85337	12.4413	1.69344
105980	10.1122	1.88581	14.1458	1.83597
116578	11.246	2.04448	15.7218	1.9695
128234	12.3442	2.20872	17.0309	2.1846
141056	13.6165	2.68687	18.9318	2.72828
155160	15.1745	3.21793	21.3073	2.9603
170676	16.742	3.553	24.1945	3.19954
187742	18.8558	3.66805	26.1133	3.48202
206516	20.6361	3.89059	28.7992	3.88202
227166	23.1824	4.20856	31.9401	4.11165
249882	25.5888	4.67774	37.0427	4.76114
274870	28.3592	5.22966	39.6114	5.50762
302356	27.7305	5.59421	38.1415	5.28689
332590	29.9149	6.0199	42.2507	5.67138
365848	32.7754	6.41105	46.7426	6.15175
402432	36.1803	6.97752	51.678	6.85935
442674	40.3768	7.42532	59.1153	7.36415
486940	44.4163	8.03483	63.8057	8.12337
535634	49.478	8.92223	71.1126	9.32374
589196	54.9371	10.9282	79.2397	10.8736
648114	60.7126	12.4568	89.7745	12.0449
712924	67.1831	13.3636	97.3988	12.9676
784216	74.4138	14.3412	107.933	13.9057
862636	83.2632	16.2873	120.002	15.4197
948898	91.3712	16.6976	132.857	16.8639
