2	0.006529	0.000408	0.000271	0.000275
20	0.004771	0.002042	0.002511	0.001929
22	0.004523	0.002197	0.002666	0.002205
24	0.004668	0.002042	0.002617	0.001986
26	0.004768	0.002557	0.003133	0.002343
28	0.005619	0.002222	0.003284	0.002223
30	0.005459	0.002803	0.003378	0.002605
32	0.006023	0.002836	0.003129	0.002467
34	0.006688	0.002975	0.00392	0.002672
36	0.007081	0.003211	0.004217	0.002889
38	0.007642	0.003661	0.004412	0.003422
40	0.007703	0.003611	0.004389	0.003253
44	0.008831	0.004066	0.005213	0.003902
48	0.009651	0.004282	0.005089	0.00395
52	0.011087	0.005089	0.006694	0.004655
56	0.011916	0.004716	0.006349	0.004458
60	0.012475	0.005557	0.006624	0.004983
66	0.013984	0.005845	0.007442	0.00536
72	0.01593	0.006397	0.00852	0.005687
78	0.016712	0.007695	0.009753	0.006646
84	0.017586	0.008345	0.010016	0.007451
92	0.021109	0.00867	0.010411	0.008124
100	0.023059	0.009277	0.011525	0.008716
110	0.025104	0.010313	0.012531	0.009549
120	0.027719	0.011276	0.013296	0.010106
132	0.162711	0.012672	0.015003	0.010961
144	0.035481	0.013619	0.017896	0.01192
158	0.039234	0.015665	0.018399	0.013757
172	0.041886	0.017268	0.02074	0.015977
188	0.047745	0.018269	0.021809	0.016499
206	0.053029	0.020552	0.025186	0.032804
226	0.084494	0.022022	0.261561	0.024666
248	0.064837	0.025077	0.027963	0.021704
272	0.071125	0.02648	0.033654	0.023501
298	0.079697	0.030047	0.037627	0.026264
326	0.086728	0.033443	0.039916	0.028814
358	0.096776	0.036921	0.044363	0.033709
392	0.108054	0.039168	0.047793	0.035615
430	0.12064	0.045926	0.053707	0.041427
472	0.134237	0.047551	0.057184	0.043085
518	0.144489	0.052568	0.059872	0.045277
568	0.165458	0.058893	0.073149	0.05121
624	0.180718	0.066698	0.077926	0.058345
686	0.199201	0.074658	0.0886	0.067669
754	0.229198	0.079791	0.093198	0.071219
828	0.251803	0.090229	0.106524	0.085839
910	0.275901	0.09527	0.114106	0.086686
1000	0.30745	0.11145	0.119952	0.094385
1100	0.34544	0.119406	0.146058	0.103021
1210	0.385113	0.136455	0.271282	0.058694
1330	0.155903	0.056147	0.066638	0.049474
1462	0.155876	0.052922	0.061608	0.047925
1608	0.16592	0.057358	0.068392	0.052908
1768	0.194304	0.072728	0.087418	0.057818
1944	0.270724	0.070749	0.080479	0.062199
2138	0.241973	0.077755	0.092423	0.066654
2350	0.256253	0.087351	0.105114	0.07454
2584	0.279142	0.097588	0.319319	0.082386
2842	0.340194	0.107153	0.124535	0.094057
3126	0.351351	0.115079	0.135428	0.102592
3438	0.397813	0.13503	0.152708	0.119666
3780	0.439423	0.141697	0.165598	0.125601
4158	0.58167	0.157408	0.175748	0.133797
4572	0.546601	0.175715	0.211109	0.176467
5028	0.771471	0.229887	0.340353	0.288615
5530	1.07114	0.259491	0.300457	0.231816
6082	0.931301	0.277247	0.31908	0.272494
6690	1.17723	0.425388	0.437117	0.292458
7358	1.07308	0.410633	0.428672	0.302995
8092	1.01439	0.329652	0.358932	0.283595
8900	1.37251	0.381046	0.436653	0.312035
9790	1.26528	0.412002	0.672949	0.349243
10768	1.39639	0.457607	0.530261	0.405721
11844	1.64425	0.496416	0.569852	0.441928
13028	1.98714	0.54672	0.638403	0.500837
14330	2.07561	0.585007	0.686294	0.524871
15762	2.39433	0.666232	0.764765	0.595972
17338	2.58684	0.73971	0.980033	0.630174
19070	2.79114	0.831149	0.970936	0.703754
20976	3.10909	1.0074	1.19866	0.788846
23072	3.52777	1.0168	1.17695	1.10353
25378	3.78943	1.10576	1.3075	1.19161
27914	4.09886	1.23733	1.6374	1.11277
30704	4.59023	1.39514	1.67643	1.1845
33774	5.10039	1.52086	1.71244	1.48165
37150	5.65381	1.87364	2.08715	1.56015
40864	6.31886	1.86331	2.32655	1.59401
44950	7.04802	2.38101	2.42079	1.9359
49444	7.45733	2.31743	2.68228	2.01072
54388	8.44923	2.77364	2.98359	2.43874
59826	9.23917	2.80181	3.22027	2.43975
65808	10.1254	3.06527	3.36093	2.66536
72388	11.5254	3.45773	4.09934	2.9224
79626	12.5245	3.85721	4.4701	3.28865
87588	16.3027	4.48906	5.09428	3.87162
96346	17.3299	4.79286	5.61953	4.39707
105980	17.6552	5.21654	6.07981	4.76652
116578	21.9352	7.65988	8.86362	6.47382
128234	22.4592	6.53989	7.16212	5.49342
141056	23.8666	6.98427	9.11857	6.88517
155160	26.1683	8.01812	9.31118	6.82114
170676	28.6228	8.85039	10.4624	7.68735
187742	31.7726	9.64609	11.5187	8.50424
206516	34.876	10.5554	12.6766	9.45538
227166	38.7679	11.4443	13.6801	10.2448
249882	43.2266	13.3492	16.2941	11.9332
274870	47.6575	14.3187	17.1597	12.1847
302356	54.3469	16.1076	19.0699	13.5488
332590	59.5361	17.9038	20.8861	15.261
365848	66.4417	19.6231	23.2819	17.1613
402432	73.426	21.3367	26.701	18.8983
442674	81.5582	23.8679	28.5542	21.2622
486940	90.5326	26.3426	31.3323	22.7872
535634	99.4454	29.1181	34.0801	24.6177
589196	112.267	32.3905	39.6688	27.4473
648114	122.767	36.3277	43.1233	31.0684
712924	136.431	41.7584	48.6396	35.3504
784216	149.172	43.5812	52.6189	37.7936
862636	167.599	51.4176	59.3993	44.9497
948898	185.024	54.009	64.9388	47.4862
