2	0.000403	0.000146	0.000129	0.000124
20	0.001474	0.000321	0.001241	0.000277
22	0.001335	0.000263	0.001358	0.000263
24	0.001277	0.000274	0.001518	0.000271
26	0.001474	0.000279	0.001556	0.000248
28	0.001676	0.000283	0.001766	0.000262
30	0.001767	0.000305	0.002053	0.00027
32	0.002105	0.000311	0.002162	0.000283
34	0.002354	0.000293	0.002402	0.000293
36	0.002302	0.000305	0.002624	0.000305
38	0.002578	0.000318	0.002983	0.000313
40	0.002715	0.000327	0.003118	0.000322
44	0.003114	0.000383	0.003605	0.000343
48	0.003411	0.000371	0.004229	0.000365
52	0.003862	0.000425	0.004868	0.000391
56	0.004357	0.000442	0.005474	0.000408
60	0.005189	0.000469	0.006273	0.000429
66	0.005568	0.000467	0.007408	0.000467
72	0.006532	0.000532	0.008852	0.000499
78	0.007244	0.000533	0.010394	0.000529
84	0.00801	0.000562	0.012038	0.000563
92	0.009564	0.000606	0.014389	0.000606
100	0.010843	0.00068	0.016949	0.000649
110	0.012643	0.000735	0.020465	0.000702
120	0.014602	0.000791	0.024331	0.000756
132	0.01683	0.002753	0.010749	0.002394
144	0.016631	0.002603	0.01212	0.002479
158	0.018733	0.002754	0.013813	0.002643
172	0.020494	0.002935	0.016215	0.002809
188	0.022793	0.003007	0.018247	0.003008
206	0.024383	0.003218	0.021159	0.003178
226	0.027609	0.003429	0.024485	0.003402
248	0.030508	0.003739	0.028945	0.003691
272	0.035162	0.003974	0.034045	0.003975
298	0.039948	0.004369	0.040528	0.004275
326	0.045035	0.004598	0.048173	0.004618
358	0.050556	0.005004	0.057522	0.005002
392	0.059742	0.005418	0.068481	0.005388
430	0.068959	0.005873	0.151381	0.006025
472	0.085762	0.006757	0.098057	0.006336
518	0.073911	0.011944	0.042957	0.011834
568	0.082402	0.01261	0.049306	0.012537
624	0.091415	0.013466	0.056978	0.013399
686	0.101604	0.014805	0.06662	0.014655
754	0.114948	0.015888	0.07682	0.015982
828	0.12647	0.017264	0.091323	0.017333
910	0.142276	0.018991	0.105456	0.018793
1000	0.160437	0.02082	0.123961	0.020624
1100	0.181305	0.022286	0.145985	0.02253
1210	0.203799	0.024357	0.174419	0.024259
1330	0.23053	0.026508	0.266986	0.027077
1462	0.258259	0.029065	0.249263	0.028834
1608	0.300409	0.031635	0.298302	0.031485
1768	0.345001	0.034591	0.357113	0.03445
1944	0.392076	0.03773	0.427523	0.037636
2138	0.464318	0.033447	0.071909	0.022426
2350	0.157834	0.024376	0.083439	0.025507
2584	0.15142	0.022971	0.082567	0.022948
2842	0.16868	0.025127	0.095224	0.025022
3126	0.194632	0.031486	0.130443	0.027007
3438	0.221537	0.029722	0.130696	0.029581
3780	0.236171	0.032232	0.150404	0.03216
4158	0.264928	0.034829	0.17606	0.034723
4572	0.295792	0.038447	0.324898	0.038533
5028	0.336239	0.042052	0.249974	0.041943
5530	0.37812	0.046364	0.316941	0.053653
6082	0.49439	0.058878	0.355498	0.050625
6690	0.484804	0.055518	0.642251	0.055699
7358	0.555196	0.060834	0.523201	0.070462
8092	0.737173	0.077198	0.701735	0.077078
8900	0.841957	0.114697	0.32608	0.114074
9790	0.798314	0.12667	0.37461	0.125384
10768	1.02432	0.11593	0.431939	0.115465
11844	0.899161	0.241167	0.623528	0.23848
13028	1.20965	0.162524	0.586342	0.160769
14330	1.18168	0.152218	0.612067	0.314574
15762	1.18455	0.168472	0.68732	0.168015
17338	1.57059	0.186427	0.803057	0.182472
19070	1.48736	0.200566	1.02924	0.229861
20976	1.78203	0.220627	1.37029	0.220568
23072	1.90742	0.36214	1.45574	0.241992
25378	2.32285	0.266555	1.60271	0.265956
27914	2.6363	0.292077	2.12467	0.291776
30704	2.95743	0.333165	2.2747	0.320162
33774	2.91611	0.472182	1.31434	0.442794
37150	3.28645	0.50411	1.29856	0.491025
40864	3.48789	0.724943	1.50001	0.532687
44950	3.89471	0.583919	1.90851	0.584095
49444	4.34145	0.846562	1.99029	0.643953
54388	4.98426	0.712678	2.41762	0.700683
59826	5.39366	0.904098	2.6782	0.962348
65808	5.94912	1.03519	3.14279	1.07689
72388	7.00526	0.93818	3.8838	0.923798
79626	7.50892	1.13202	4.63116	1.01378
87588	8.47998	1.11502	5.30282	1.22852
96346	9.40248	1.25356	6.07616	1.22618
105980	10.3412	1.34518	7.20926	1.34491
116578	11.9123	1.50074	8.59032	1.48002
128234	13.2939	1.62956	10.2082	1.62747
141056	15.0843	2.22211	5.19957	2.19313
155160	14.6046	2.39814	5.89002	2.41207
170676	16.7319	2.65379	6.92008	2.61819
187742	18.6431	2.90279	7.93931	2.86415
206516	20.5088	3.20438	9.01365	3.18533
227166	23.073	3.50384	10.6024	3.46071
249882	25.3196	3.84318	12.1617	3.76677
274870	28.517	4.23989	14.1531	4.14439
302356	32.1984	4.65333	16.5861	4.56798
332590	36.0299	5.17831	19.6645	5.05617
365848	39.9641	5.70885	23.1582	5.59937
402432	44.6751	6.33529	28.907	6.20123
442674	50.3884	7.06731	32.7611	6.87821
486940	56.688	7.9983	38.5445	7.59623
535634	58.7805	10.5465	21.0563	10.3782
589196	65.0502	11.1275	23.8609	10.9063
648114	72.1236	12.3519	29.0741	12.6738
712924	79.7129	13.6885	31.5109	13.4331
784216	88.5815	14.9379	36.415	14.735
862636	97.9112	16.5737	41.888	16.433
948898	110.502	18.1998	48.4053	18.0053
